,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
6016,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
6017,DETACHED DUPLEX,Lekki,4,0,0,"150,000,000",SALE
6018,BUNGALOW HOUSE,Ikorodu,0,0,0,"19,000,000",SALE
6019,BLOCKS OF,Ikosi,3,3,4,"150,000,000",SALE
6020,DETACHED DUPLEX,Ojodu,5,5,6,"200,000,000",SALE
6021,BLOCKS OF,Egba,4,0,0,"30,000,000",SALE
6022,BUNGALOW HOUSE,Ajah,0,0,0,"25,000,000",SALE
6023,HOUSE FOR,Ikosi,5,5,5,"150,000,000",SALE
6024,SEMI DETACHED,Ogudu,4,0,0,"70,000,000",SALE
6025,FLATS HOUSE,Isolo,beds,baths,Toilets,"45,000,000",SALE
6026,DETACHED DUPLEX,Lekki,4,4,5,"70,000,000",SALE
6027,HOUSE FOR,Lekki,0,0,0,"16,000,000",SALE
6028,DETACHED DUPLEX,Lekki,5,5,5,"85,000,000",SALE
6029,DETACHED DUPLEX,Ojodu,5,5,5,"110,000,000",SALE
6030,DUPLEX HOUSE,Lekki,0,0,0,"55,000,000",SALE
6031,DETACHED DUPLEX,Lekki,4,4,5,"130,000,000",SALE
6032,DETACHED DUPLEX,Lekki,5,0,0,"90,000,000",SALE
6033,DETACHED DUPLEX,Lekki,5,5,6,"170,000,000",SALE
6034,BLOCKS OF,Ikorodu,3,3,4,"50,000,000",SALE
6035,DETACHED DUPLEX,Lekki,5,5,6,"145,000,000",SALE
6036,DETACHED DUPLEX,Lekki,4,4,4,"90,000,000",SALE
6037,BLOCKS OF,Yaba,2,2,3,"55,000,000",SALE
6038,SELF CONTAIN,Ikoyi,4,4,5,"205,000,000",SALE
6039,HOUSE FOR,Alimosho,3,baths,Toilets,"15,000,000",SALE
6040,HOUSE FOR,Lekki,0,0,0,"95,000,000",SALE
6041,BLOCKS OF,Yaba,2,0,0,"27,000,000",SALE
6042,DETACHED BUNGALOW,hostelOjo,3,0,0,"15,000,000",SALE
6043,DUPLEX HOUSE,Okota,beds,baths,Toilets,"60,000,000",SALE
6044,HOUSE FOR,Lekki,0,0,0,"60,000,000",SALE
