,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
4084,SEMI DETACHED,AxisLekki,4,baths,Toilets,"2,500,000",RENT
4085,FLAT ,Isolo,2,3,3,"550,000",RENT
4086,MINI FLAT,Lekki,1,1,1,"450,000",RENT
4087,MASSIONETTE HOUSE,Island,4,5,6,"4,500,000",RENT
4088,PENTHOUSE FLAT,Ikoyi,3,3,4,"15,000,000",RENT
4089,HOUSE FOR,Ajah,0,0,0,"3,500,000",RENT
4090,SEMI DETACHED,Lekki,4,4,5,"3,500,000",RENT
4091,HOUSE FOR,Lekki,0,0,0,"3,200,000",RENT
4092,BLOCKS OF,RoadOgudu,2,2,3,"900,000",RENT
4093,TERRACED DUPLEX,Ikeja,4,5,5,"3,000,000",RENT
4094,FLAT ,Island,4,4,5,"12,000,000",RENT
4095,SEMI DETACHED,Ikosi,2,3,3,"1,200,000",RENT
4096,LAND FOR,Oshodi,0,0,0,"700,000",RENT
4097,LAND FOR,Gbagada,beds,baths,Toilets,"23,000,000",RENT
4098,RENT,Ikeja,beds,baths,Toilets,"40,000,000",RENT
4099,LAND LAND,Ikeja,beds,baths,Toilets,"250,000,000",RENT
4100,FOR RENT,Island,beds,baths,Toilets,"10,000,000",RENT
4101,LAND LAND,Ikeja,beds,baths,Toilets,"15,000,000",RENT
4102,LAND FOR,costainApapa,0,0,0,"10,000,000",RENT
4103,LAND FOR,Apapa,beds,baths,Toilets,"100,000,000",RENT
4104,DETACHED DUPLEX,Lekki,5,5,5,"85,000,000",SALE
4105,LAND LAND,Egba,beds,baths,Toilets,"190,000,000",RENT
4106,FOR RENT,Island,beds,baths,Toilets,"2,500,000",RENT
4107,FLAT ,Lekki,2,2,3,"3,000,000",RENT
4108,DETACHED DUPLEX,EstateLekki,4,4,5,"4,000,000",RENT
4109,SEMI DETACHED,Ikeja,3,3,4,"4,500,000",RENT
4110,BLOCKS OF,Lekki,3,3,4,"2,200,000",RENT
4111,HOUSE FOR,Lekki,3,4,3,"3,800,000",RENT
4112,BLOCKS OF,Lekki,2,2,3,"2,500,000",RENT
4113,APARTMENT FOR,Lekki,0,0,0,"3,500,000",RENT
4114,BLOCKS OF,Ogudu,3,3,4,"1,500,000",RENT
4115,TERRACED DUPLEX,Lekki,4,4,5,"4,500,000",RENT
4116,BLOCKS OF,Ikeja,3,3,4,"2,700,000",RENT
4117,MINI FLAT,Ikorodu,3,3,4,"300,000",RENT
4118,SEMI DETACHED,Lekki,4,4,5,"3,000,000",RENT
4119,DETACHED DUPLEX,Lekki,5,5,6,"4,000,000",RENT
